adjacentBuilding,adjacentBuilding
administrativeDivision,electoralDistrict,district,administrativeDivision,diocese
diocese,diocese
district,district,electoralDistrict
electoralDistrict,electoralDistrict
appliesToJurisdiction,appliesToJurisdiction
city,city,capitalCity
capitalCity,capitalCity
capitalOf,capitalOf
carries,carries
childAstronomicalBody,childAstronomicalBody
coextensiveWith,coextensiveWith
connectingLine,connectingLine
connectingService,connectingService
connectsWith,connectsWith
constellation,constellation
contains,containsAdministrativeUnit,containsSettlement,contains
containsAdministrativeUnit,containsAdministrativeUnit
containsSettlement,containsSettlement
continent,continent
countr,countr
country,countryOfOrigin,basinCountry,country
basinCountry,basinCountry
countryOfOrigin,countryOfOrigin
crosses,crosses
cultureOf,cultureOf
deepestPoint,deepestPoint
diplomaticRelation,diplomaticRelation
drainageBasin,drainageBasin
exclaveOf,exclaveOf
hasPart,hasPart
isPartOf,isPartOf
lakeInflow,lakeInflow
lakeOutflow,lakeOutflow
locatedNearbodyOfWater,locatedNearbodyOfWater
locatedInArea,locatedInArea,locatedInProtectedArea
locatedInProtectedArea,locatedInProtectedArea
locatedInAdministrativeUnit,locatedInAdministrativeUnit
locatedOnAstronomicalBody,locatedOnAstronomicalBody
locatedOnStreet,locatedOnStreet
locatedOnTerrainFeature,locatedOnTerrainFeature
locatedAt,locatedAt
minorPlanetGroup,minorPlanetGroup
mouthOfWatercourse,mouthOfWatercourse
namedAfter,namedAfter
parentAstronomicalBody,parentAstronomicalBody
partiallyCoincidentWith,partiallyCoincidentWith
placeServedByTransportHub,placeServedByTransportHub
primaryDestinations,primaryDestinations
replacedBy,replacedBy
replaces,replaces
separatedFrom,separatedFrom
sharesBorderWith,sharesBorderWith
siteOfAstronomicalDiscovery,siteOfAstronomicalDiscovery
sourceOfWatercourse,sourceOfWatercourse
startPoint,startPoint
station,station,interchangeStation,adjacentStation
adjacentStation,adjacentStation
interchangeStation,interchangeStation
terminus,terminus
tributary,tributary
contractor,contractor
discoverer,discoverer
executiveBody,executiveBody
legislativeBody,legislativeBody
maintainedBy,maintainedBy
occupant,occupant
operator,operator
owner,owner
architect,architect
chairperson,chairperson
creator,creator
dedicatedTo,dedicatedTo
designer,designer
engineer,structuralEngineer,engineer
structuralEngineer,structuralEngineer
founder,founder
manager,manager
officeholder,headOfGovernment,commissionedBy,officeholder,headOfState
commissionedBy,commissionedBy
headOfGovernment,headOfGovernment
headOfState,headOfState
patron,patron,patronSaint
patronSaint,patronSaint
representative,representative
