airlineHub,['airlineHub']
battleFoughtAt,['battleFoughtAt']
broadcastArea,['broadcastArea']
campusLocation,['campusLocation']
city,['city']
country,['country']
county,['county']
foundingLocation,['foundingLocation']
garrison,['garrison']
ground,"['ground', 'stadium', 'homeArena']"
homeArena,['homeArena']
stadium,['stadium']
headquarter,['headquarter']
jurisdiction,['jurisdiction']
localAuthority,['localAuthority']
locatedAt,['locatedAt']
region,['region']
regionServed,['regionServed']
state,['state']
targetAirport,['targetAirport']
affiliation,"['internationalAffiliation', 'europeanAffiliation', 'athleticsAffiliation', 'affiliation', 'nationalAffiliation']"
athleticsAffiliation,['athleticsAffiliation']
europeanAffiliation,['europeanAffiliation']
internationalAffiliation,['internationalAffiliation']
nationalAffiliation,['nationalAffiliation']
associatedWith,"['university', 'associatedWith', 'league', 'band']"
band,['band']
league,['league']
university,['university']
authority,['authority']
broadcastNetwork,"['broadcastNetwork', 'formerBroadcastNetwork']"
formerBroadcastNetwork,['formerBroadcastNetwork']
commandStructure,['commandStructure']
company,"['company', 'distributingCompany', 'owningCompany', 'parentCompany']"
distributingCompany,['distributingCompany']
owningCompany,['owningCompany']
parentCompany,['parentCompany']
distributingLabel,['distributingLabel']
division,['division']
isPartOf,['isPartOf']
legislativeBody,"['house', 'legislativeBody']"
house,['house']
makesProductFor,['makesProductFor']
mergedIntoParty,['mergedIntoParty']
militaryBranch,['militaryBranch']
operator,['operator']
organization,"['foundingOrganization', 'organization', 'parentOrganisation', 'childOrganisation']"
childOrganisation,['childOrganisation']
foundingOrganization,['foundingOrganization']
parentOrganisation,['parentOrganisation']
owner,['owner']
politicalParty,"['politicalPartyInLegislature', 'politicalParty', 'politicalPartyOfLeader']"
politicalPartyInLegislature,['politicalPartyInLegislature']
politicalPartyOfLeader,['politicalPartyOfLeader']
predecessor,['predecessor']
recordLabel,['recordLabel']
religion,['religion']
rival,['rival']
splitFromParty,['splitFromParty']
subsidiary,"['sisterStation', 'subsidiary']"
sisterStation,['sisterStation']
successor,['successor']
alumni,['alumni']
associates,"['associatedMusicalArtist', 'associates']"
associatedMusicalArtist,['associatedMusicalArtist']
chairperson,['chairperson']
coach,['coach']
director,['director']
founder,['founder']
head,['head']
influencedBy,['influencedBy']
leader,['leader']
manager,['manager']
member,"['bandMember', 'member', 'formerBandMember']"
bandMember,"['bandMember', 'formerBandMember']"
formerBandMember,['formerBandMember']
officeholder,"['chairman', 'notableCommander', 'viceChancellor', 'chancellor', 'secretaryGeneral', 'president', 'officeholder', 'commander', 'dean', 'secondCommander']"
chairman,['chairman']
chancellor,['chancellor']
commander,"['commander', 'notableCommander', 'secondCommander']"
notableCommander,['notableCommander']
secondCommander,['secondCommander']
dean,['dean']
president,['president']
secretaryGeneral,['secretaryGeneral']
viceChancellor,['viceChancellor']
patron,"['patron', 'schoolPatron']"
schoolPatron,['schoolPatron']
people,"['people', 'keyPeople']"
keyPeople,['keyPeople']
rector,['rector']
