awardedAt,['awardedAt']
battleFoughtAt,['battleFoughtAt']
beatifiedPlace,['beatifiedPlace']
billedFrom,['billedFrom']
placeOfBirth,['placeOfBirth']
bodyDiscoveredPlcae,['bodyDiscoveredPlcae']
canonizedPlace,['canonizedPlace']
country,"['country', 'nationality', 'countryOfCitizenship', 'countryForSport']"
countryOfCitizenship,['countryOfCitizenship']
nationality,['nationality']
countryForSport,['countryForSport']
placeOfDeath,['placeOfDeath']
honouredAt,['honouredAt']
locatedAt,['locatedAt']
majorShrine,['majorShrine']
missionAt,['missionAt']
hometown,['hometown']
state,"['stateOfOrigin', 'state']"
stateOfOrigin,['stateOfOrigin']
placeOfBurial,['placeOfBurial']
region,['region']
residence,['residence']
restingPlace,['restingPlace']
significantBuilding,['significantBuilding']
significantProject,['significantProject']
agency,['agency']
almaMater,['almaMater']
associatedWith,"['associatedWith', 'associate', 'institution', 'league', 'associatedMusicalArtist', 'band', 'prospectLeague']"
band,['band']
institution,['institution']
league,"['league', 'prospectLeague']"
prospectLeague,['prospectLeague']
awardedBy,['awardedBy']
battleFaughtUnder,['battleFaughtUnder']
boardMemberOf,['boardMemberOf']
club,"['club', 'managerOfClub']"
managerOfClub,['managerOfClub']
coachOf,"['formerCoachOf', 'coachOf']"
formerCoachOf,['formerCoachOf']
educatedAt,"['school', 'highSchool', 'formerHighSchool', 'educatedAt', 'university', 'college']"
highSchool,"['highSchool', 'formerHighSchool']"
formerHighSchool,['formerHighSchool']
college,['college']
school,['school']
university,['university']
employer,['employer']
memberOf,"['memberOfPoliticalParty', 'memberOf', 'currentMemberOf']"
currentMemberOf,['currentMemberOf']
memberOfPoliticalParty,['memberOfPoliticalParty']
militaryBranch,['militaryBranch']
militaryUnit,['militaryUnit']
recordLabel,['recordLabel']
religion,['religion']
team,"['formerTeam', 'team', 'nationalTeam', 'coachedTeam', 'draftTeam', 'prospectTeam', 'debutTeam']"
coachedTeam,['coachedTeam']
debutTeam,['debutTeam']
draftTeam,['draftTeam']
formerTeam,['formerTeam']
nationalTeam,['nationalTeam']
prospectTeam,['prospectTeam']
trainedAt,['trainedAt']
advisor,"['advisor', 'doctoralAdvisor', 'academicAdvisor']"
academicAdvisor,['academicAdvisor']
doctoralAdvisor,['doctoralAdvisor']
appointedBy,['appointedBy']
associate,['associate']
associatedMusicalArtist,['associatedMusicalArtist']
beatifiedBy,['beatifiedBy']
canonizedBy,['canonizedBy']
choreographer,"['choreographer', 'formerChoreographer']"
formerChoreographer,['formerChoreographer']
influenced,['influenced']
influencedBy,['influencedBy']
officeholder,"['inOfficeGovernorGeneral', 'inOfficeVicePresident', 'inOfficeVicePrimeMinister', 'inOfficeGovernor', 'inOfficeChancellor', 'inOfficeLieutenant', 'inOfficeMonarch', 'inOfficePrimeMinister', 'officeholder', 'deputy', 'inOfficePresident']"
inOfficeChancellor,['inOfficeChancellor']
deputy,['deputy']
inOfficeGovernor,['inOfficeGovernor']
inOfficeGovernorGeneral,['inOfficeGovernorGeneral']
inOfficeLieutenant,['inOfficeLieutenant']
inOfficeMonarch,['inOfficeMonarch']
inOfficePresident,['inOfficePresident']
inOfficePrimeMinister,['inOfficePrimeMinister']
inOfficeVicePresident,['inOfficeVicePresident']
inOfficeVicePrimeMinister,['inOfficeVicePrimeMinister']
opponent,['opponent']
partner,"['formerPartner', 'currentPartner', 'partner']"
currentPartner,['currentPartner']
formerPartner,['formerPartner']
predecessor,['predecessor']
familyMember,"['relative', 'spouse', 'child', 'familyMember', 'parent']"
child,['child']
parent,['parent']
relative,['relative']
spouse,['spouse']
student,"['student', 'doctoralStudent', 'notableStudent']"
doctoralStudent,['doctoralStudent']
notableStudent,['notableStudent']
successor,['successor']
trainer,['trainer']
